N; Bubble; Quick;;;;;;;;;
1;600;300;;600;280;;0,0006;0,00028;;0,0000006;0,00000028
10;3100;1600;;2380;1600;;0,00238;0,0016;;0,00000238;0,0000016
100;209000;51800;;231240;29820;;0,23124;0,02982;;0,00023124;0,00002982
1000;18371700;273000;;19654560;296980;;19,65456;0,29698;;0,01965456;0,00029698
10000;2020174700;3467200;;2066249780;3753120;;2066,24978;3,75312;;2,06624978;0,00375312
100000;2,25E+11;48934100;;2,22E+11;46460820;;222471;46,46082;;222,471;0,04646082
;;;;;;;;;;;
1;1000;300;;;;;;;;;
10;2200;1500;;;;;;;;;
100;227900;28200;;;;;;;;;
1000;20953700;306000;;;;;;;;;
10000;2229385800;4079100;;;;;;;;;
100000;2,29E+11;44108700;;;;;;;;;
;;;;;;;;;;;
1;400;300;;;;;;;;;
10;1300;1100;;;;;;;;;
100;199600;20000;;;;;;;;;
1000;19258700;312700;;;;;;;;;
10000;2065916700;3533500;;;;;;;;;
100000;2,44E+11;45428100;;;;;;;;;
;;;;;;;;;;;
1;600;200;;;;;;;;;
10;2500;1800;;;;;;;;;
100;231600;22600;;;;;;;;;
1000;19451400;263700;;;;;;;;;
10000;2045250000;3406200;;;;;;;;;
100000;2,04E+11;46196300;;;;;;;;;
;;;;;;;;;;;
1;400;300;;;;;;;;;
10;2800;2000;;;;;;;;;
100;288100;26500;;;;;;;;;
1000;20237300;329500;;;;;;;;;
10000;1970521700;4279600;;;;;;;;;
100000;2,11E+11;47636900;;;;;;;;;
